,Fechas,TAIRE10_SSR,Estacion
213,2020-09-28,23.0,MED-FISC
214,2020-09-29,21.29166666666667,MED-FISC
215,2020-09-30,21.84347826086957,MED-FISC
216,2020-10-01,22.83181818181819,MED-FISC
217,2020-10-02,21.17916666666667,MED-FISC
218,2020-10-03,20.88095238095238,MED-FISC
219,2020-10-04,20.79166666666667,MED-FISC
220,2020-10-05,20.89166666666667,MED-FISC
221,2020-10-06,21.7375,MED-FISC
222,2020-10-07,22.94583333333334,MED-FISC
223,2020-10-08,23.32499999999999,MED-FISC
224,2020-10-09,23.51666666666667,MED-FISC
225,2020-10-10,24.42083333333334,MED-FISC
226,2020-10-11,24.54583333333333,MED-FISC
227,2020-10-12,23.10833333333333,MED-FISC
228,2020-10-13,20.19583333333333,MED-FISC
229,2020-10-14,22.90952380952381,MED-FISC
230,2020-10-24,20.72083333333333,MED-FISC
231,2020-10-25,20.79583333333333,MED-FISC
232,2020-10-26,22.4,MED-FISC
233,2020-10-27,22.20833333333333,MED-FISC
234,2020-10-28,21.87916666666667,MED-FISC
235,2020-10-29,20.10416666666667,MED-FISC
236,2020-10-30,20.7875,MED-FISC
237,2020-10-31,20.9,MED-FISC
238,2020-11-01,21.0875,MED-FISC
239,2020-11-02,22.875,MED-FISC
240,2020-11-03,22.09583333333333,MED-FISC
241,2020-11-04,22.03333333333333,MED-FISC
242,2020-11-05,21.8,MED-FISC
243,2020-11-06,21.28333333333333,MED-FISC
244,2020-11-07,22.17083333333333,MED-FISC
245,2020-11-08,21.1125,MED-FISC
246,2020-11-09,21.06190476190476,MED-FISC
247,2020-11-10,21.23333333333333,MED-FISC
248,2020-11-11,19.47916666666667,MED-FISC
249,2020-11-12,20.59545454545454,MED-FISC
250,2020-11-13,21.0625,MED-FISC
251,2020-11-14,20.91666666666667,MED-FISC
252,2020-11-15,21.1625,MED-FISC
253,2020-11-16,21.85,MED-FISC
254,2020-11-17,19.85416666666667,MED-FISC
255,2020-11-18,21.02916666666667,MED-FISC
256,2020-11-19,22.13636363636363,MED-FISC
257,2020-11-20,21.38,MED-FISC
258,2020-11-21,21.6375,MED-FISC
259,2020-11-22,22.62916666666667,MED-FISC
260,2020-11-23,23.02083333333333,MED-FISC
261,2020-11-24,22.97916666666667,MED-FISC
262,2020-11-25,22.98333333333334,MED-FISC
263,2020-11-26,22.4375,MED-FISC
264,2020-11-27,21.71818181818182,MED-FISC
265,2020-11-28,20.325,MED-FISC
266,2020-11-29,22.83181818181818,MED-FISC
267,2020-11-30,21.6,MED-FISC
268,2020-12-01,21.7625,MED-FISC
269,2020-12-02,20.79583333333333,MED-FISC
270,2020-12-03,21.53333333333334,MED-FISC
271,2020-12-04,22.50833333333334,MED-FISC
272,2020-12-05,22.95416666666667,MED-FISC
273,2020-12-06,23.19166666666667,MED-FISC
274,2020-12-07,22.62083333333334,MED-FISC
275,2020-12-08,22.65000000000001,MED-FISC
276,2020-12-09,21.7625,MED-FISC
277,2020-12-10,22.67083333333333,MED-FISC
278,2020-12-11,22.74166666666666,MED-FISC
279,2020-12-12,22.3125,MED-FISC
280,2020-12-13,22.44166666666667,MED-FISC
281,2020-12-14,22.8875,MED-FISC
282,2020-01-01,20.37727272727273,ITA-CJUS
283,2020-01-02,22.61666666666667,ITA-CJUS
284,2020-01-03,22.79166666666666,ITA-CJUS
285,2020-01-04,22.625,ITA-CJUS
286,2020-01-05,21.96666666666667,ITA-CJUS
287,2020-01-06,21.65000000000001,ITA-CJUS
288,2020-01-07,21.90833333333333,ITA-CJUS
289,2020-01-08,22.24583333333334,ITA-CJUS
290,2020-01-09,22.70416666666667,ITA-CJUS
291,2020-01-10,23.11666666666666,ITA-CJUS
292,2020-01-11,22.70833333333333,ITA-CJUS
293,2020-01-12,22.85833333333333,ITA-CJUS
294,2020-01-13,23.70416666666667,ITA-CJUS
295,2020-01-14,24.37727272727273,ITA-CJUS
296,2020-01-15,22.5875,ITA-CJUS
297,2020-01-16,23.89166666666667,ITA-CJUS
298,2020-01-17,24.1875,ITA-CJUS
299,2020-01-18,24.5625,ITA-CJUS
300,2020-01-19,24.35833333333332,ITA-CJUS
301,2020-01-20,22.2125,ITA-CJUS
302,2020-02-05,23.27083333333333,ITA-CJUS
303,2020-02-06,23.32916666666667,ITA-CJUS
304,2020-02-07,22.35416666666667,ITA-CJUS
305,2020-02-08,23.24166666666666,ITA-CJUS
306,2020-02-09,22.83333333333333,ITA-CJUS
307,2020-02-10,23.41666666666666,ITA-CJUS
308,2020-02-11,24.49166666666666,ITA-CJUS
309,2020-02-12,23.85833333333333,ITA-CJUS
310,2020-02-13,23.94166666666667,ITA-CJUS
311,2020-02-14,23.36666666666666,ITA-CJUS
312,2020-02-15,22.89583333333333,ITA-CJUS
313,2020-02-16,24.16666666666667,ITA-CJUS
314,2020-02-17,24.5625,ITA-CJUS
315,2020-02-18,24.8,ITA-CJUS
316,2020-02-19,25.29583333333334,ITA-CJUS
317,2020-02-20,23.47916666666667,ITA-CJUS
318,2020-02-21,21.68333333333333,ITA-CJUS
319,2020-02-22,20.95833333333334,ITA-CJUS
320,2020-02-23,22.24166666666667,ITA-CJUS
321,2020-02-24,22.4875,ITA-CJUS
322,2020-02-25,22.95833333333333,ITA-CJUS
323,2020-02-26,22.66666666666667,ITA-CJUS
324,2020-02-27,22.20833333333333,ITA-CJUS
325,2020-02-28,22.71666666666667,ITA-CJUS
326,2020-02-29,23.13913043478261,ITA-CJUS
327,2020-03-01,23.30416666666667,ITA-CJUS
328,2020-03-02,23.77916666666667,ITA-CJUS
329,2020-03-03,24.25,ITA-CJUS
330,2020-03-04,23.65416666666667,ITA-CJUS
331,2020-03-05,24.79166666666666,ITA-CJUS
332,2020-03-06,24.73333333333333,ITA-CJUS
333,2020-03-07,22.5625,ITA-CJUS
334,2020-03-08,22.77916666666667,ITA-CJUS
335,2020-03-09,23.48333333333333,ITA-CJUS
336,2020-03-10,21.5625,ITA-CJUS
337,2020-03-11,21.075,ITA-CJUS
338,2020-03-12,22.57083333333333,ITA-CJUS
339,2020-03-13,22.24583333333333,ITA-CJUS
340,2020-03-14,22.30416666666666,ITA-CJUS
341,2020-03-15,22.63333333333334,ITA-CJUS
342,2020-03-16,23.2875,ITA-CJUS
343,2020-03-17,23.20833333333333,ITA-CJUS
344,2020-03-18,23.15,ITA-CJUS
345,2020-03-19,23.25833333333334,ITA-CJUS
346,2020-03-20,21.45416666666667,ITA-CJUS
347,2020-03-21,21.33636363636364,ITA-CJUS
348,2020-03-22,22.69583333333334,ITA-CJUS
349,2020-03-23,23.08333333333333,ITA-CJUS
350,2020-03-24,21.47916666666667,ITA-CJUS
351,2020-03-25,22.775,ITA-CJUS
352,2020-03-26,23.42083333333333,ITA-CJUS
353,2020-03-27,23.36666666666666,ITA-CJUS
354,2020-03-28,23.63333333333334,ITA-CJUS
355,2020-03-29,21.59583333333333,ITA-CJUS
356,2020-03-30,21.85,ITA-CJUS
357,2020-03-31,22.16086956521739,ITA-CJUS
358,2020-04-01,20.8375,ITA-CJUS
359,2020-04-02,22.95217391304348,ITA-CJUS
360,2020-04-03,24.4375,ITA-CJUS
361,2020-04-04,24.3125,ITA-CJUS
362,2020-04-05,24.2125,ITA-CJUS
363,2020-04-06,23.75,ITA-CJUS
364,2020-04-07,24.88333333333334,ITA-CJUS
365,2020-04-08,24.67083333333333,ITA-CJUS
366,2020-04-09,23.25,ITA-CJUS
367,2020-04-10,23.19090909090909,ITA-CJUS
368,2020-04-11,22.16666666666666,ITA-CJUS
369,2020-04-12,22.72083333333333,ITA-CJUS
370,2020-04-13,21.575,ITA-CJUS
371,2020-04-14,21.54583333333333,ITA-CJUS
372,2020-04-15,21.07916666666667,ITA-CJUS
373,2020-04-16,22.37083333333333,ITA-CJUS
374,2020-04-17,21.58636363636364,ITA-CJUS
375,2020-04-18,20.36666666666667,ITA-CJUS
376,2020-04-19,20.69583333333334,ITA-CJUS
377,2020-04-20,22.1375,ITA-CJUS
378,2020-04-21,20.925,ITA-CJUS
379,2020-04-22,21.05833333333333,ITA-CJUS
380,2020-04-23,21.50416666666667,ITA-CJUS
381,2020-04-24,21.9125,ITA-CJUS
382,2020-04-25,22.20833333333333,ITA-CJUS
383,2020-04-26,22.96666666666667,ITA-CJUS
384,2020-04-27,23.42083333333334,ITA-CJUS
385,2020-04-28,23.40833333333333,ITA-CJUS
386,2020-04-29,23.19583333333334,ITA-CJUS
387,2020-04-30,22.21304347826086,ITA-CJUS
388,2020-05-01,22.36363636363636,ITA-CJUS
389,2020-05-02,23.70833333333333,ITA-CJUS
390,2020-05-03,23.525,ITA-CJUS
391,2020-05-04,24.63333333333333,ITA-CJUS
392,2020-05-05,24.2625,ITA-CJUS
393,2020-05-06,24.09166666666667,ITA-CJUS
394,2020-05-07,24.71666666666667,ITA-CJUS
395,2020-05-08,24.66666666666667,ITA-CJUS
396,2020-05-09,25.77500000000001,ITA-CJUS
397,2020-05-10,24.92916666666667,ITA-CJUS
398,2020-05-11,23.74166666666666,ITA-CJUS
399,2020-05-12,23.42083333333333,ITA-CJUS
400,2020-05-13,21.98333333333333,ITA-CJUS
401,2020-05-14,22.8625,ITA-CJUS
402,2020-05-15,23.375,ITA-CJUS
403,2020-05-16,24.04166666666667,ITA-CJUS
404,2020-05-17,24.31666666666667,ITA-CJUS
405,2020-05-18,23.25,ITA-CJUS
406,2020-05-19,20.69583333333333,ITA-CJUS
407,2020-05-20,23.52916666666667,ITA-CJUS
408,2020-05-21,24.69166666666666,ITA-CJUS
409,2020-05-22,21.725,ITA-CJUS
410,2020-05-23,23.98333333333333,ITA-CJUS
411,2020-05-24,24.88333333333333,ITA-CJUS
412,2020-05-25,24.625,ITA-CJUS
413,2020-05-26,25.0875,ITA-CJUS
414,2020-05-27,22.04166666666666,ITA-CJUS
